ID,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,property_value,income,Credit_Score,LTV,dtir1,loan_type,loan_purpose,Credit_Worthiness,age,Region,occupancy_type,business_or_commercial,Status
24940,196500,4.125,0.4465,3188.01,312,338000,9060,543,58.13609467,30,type1,p3,l1,25-34,south,pr,nob/c,0
24941,206500,2.99,0.245,5882.75,180,708000,9600,846,29.16666667,23,type1,p4,l1,65-74,North,pr,nob/c,0
24942,136500,NULL,NULL,NULL,360,NULL,3360,555,NULL,NULL,type3,p3,l1,65-74,North,pr,nob/c,1
24943,166500,NULL,NULL,NULL,360,NULL,4560,603,NULL,NULL,type1,p3,l1,65-74,North,pr,nob/c,1
24944,606500,3.625,0.0945,14690.09,360,808000,22500,808,75.06188119,28,type1,p1,l1,35-44,central,ir,nob/c,0
24945,86500,NULL,NULL,NULL,360,948000,3300,519,9.124472574,31,type2,p4,l1,55-64,south,pr,b/c,1
24946,116500,NULL,NULL,NULL,180,128000,4140,786,91.015625,11,type1,p2,l1,45-54,south,ir,nob/c,1
24947,426500,3.5,0.5271,3854,180,598000,6000,769,71.32107023,42,type1,p3,l1,45-54,south,pr,nob/c,0
24948,166500,3.99,0.5893,4044.53,144,238000,6600,685,69.95798319,30,type1,p3,l1,35-44,North,pr,nob/c,0
24949,426500,3.375,-0.0529,NULL,180,608000,11340,556,70.14802632,27,type1,p3,l1,35-44,south,pr,nob/c,0
24950,376500,4.5,-0.088,0,360,718000,7080,567,52.43732591,20,type1,p4,l1,65-74,North,pr,nob/c,0
24951,286500,3.25,0.4639,0,360,298000,4800,632,96.1409396,31,type2,p1,l1,35-44,North,pr,b/c,0
24952,706500,4.125,0.327,0,360,888000,8520,818,79.56081081,40,type1,p4,l1,35-44,south,pr,nob/c,0
24953,146500,4.75,1.5693,0,360,148000,2760,584,98.98648649,55,type2,p4,l1,<25,south,pr,b/c,0
24954,446500,3.875,0.6514,295,240,628000,7140,750,71.09872611,34,type1,p3,l1,55-64,North,pr,nob/c,0
24955,286500,3.875,0.2859,1250,360,608000,5820,808,47.12171053,22,type1,p4,l1,55-64,south,pr,nob/c,0
24956,166500,NULL,NULL,NULL,360,NULL,2100,838,NULL,NULL,type3,p3,l1,65-74,North,pr,nob/c,1
24957,636500,NULL,NULL,NULL,360,658000,12000,741,96.7325228,36,type2,p4,l1,65-74,south,pr,b/c,1
24958,226500,3.625,0.5626,NULL,360,258000,3720,820,87.79069767,40,type2,p3,l1,25-34,North,pr,b/c,0
24959,316500,4.5,0.4649,4771.25,360,928000,5880,665,34.10560345,24,type1,p3,l2,65-74,south,pr,nob/c,0
24960,156500,3.99,0.4597,3000,360,208000,3300,783,75.24038462,30,type1,p3,l1,>74,south,pr,nob/c,0
24961,706500,4.875,0.6484,1645.03,360,748000,8400,663,94.45187166,46,type1,p1,l2,35-44,south,pr,nob/c,0
24962,196500,4.25,0.7872,5493.02,240,318000,5520,612,61.79245283,30,type1,p3,l1,65-74,North,pr,nob/c,0
24963,166500,4.5,0.7084,1680,360,168000,2040,739,99.10714286,52,type3,p1,l1,65-74,North,pr,nob/c,0
24964,486500,3.875,-0.1583,7305,360,1198000,8580,812,40.60934891,33,type1,p4,l1,45-54,North,pr,nob/c,0
24965,406500,4.375,0.0301,0,360,428000,10740,571,94.97663551,44,type1,p1,l1,45-54,central,pr,nob/c,0
24966,146500,NULL,NULL,NULL,360,188000,2400,870,77.92553191,49,type1,p4,l1,35-44,south,pr,nob/c,1
24967,306500,4.875,0.9155,1330.09,360,408000,12600,793,75.12254902,30,type1,p1,l1,35-44,North,ir,nob/c,0
24968,266500,3.875,0.5347,6245,300,298000,5040,804,89.4295302,26,type1,p4,l1,35-44,North,pr,nob/c,0
24969,436500,3.5,0.5636,9323.75,240,588000,7860,801,74.23469388,40,type1,p4,l1,35-44,south,pr,nob/c,0
24970,446500,3.375,-0.1955,0,360,1308000,5700,711,34.13608563,47,type1,p4,l1,55-64,North,pr,nob/c,0
24971,216500,3.5,0.8157,0,360,218000,2580,673,99.31192661,49,type2,p1,l1,55-64,central,pr,b/c,0
24972,476500,3.99,0.2859,NULL,360,688000,15180,634,69.25872093,23,type1,p1,l1,45-54,south,pr,nob/c,0
24973,466500,3.625,0.0903,1790.25,360,658000,8700,834,70.89665653,33,type1,p4,l1,55-64,North,pr,nob/c,0
24974,326500,NULL,NULL,NULL,240,NULL,5400,764,NULL,NULL,type1,p4,l1,25-34,south,pr,nob/c,1
24975,656500,NULL,NULL,NULL,360,678000,8160,865,96.82890855,60,type2,p1,l1,25-34,North,pr,b/c,1
24976,506500,NULL,NULL,NULL,360,808000,9180,593,62.68564356,44,type1,p1,l1,45-54,south,ir,nob/c,1
24977,246500,3.75,-0.1094,0,360,358000,NULL,511,68.8547486,NULL,type3,p4,l1,35-44,south,pr,nob/c,0
24978,186500,NULL,NULL,NULL,360,288000,5640,533,64.75694444,31,type1,p3,l1,65-74,south,pr,nob/c,1
24979,56500,4.5,0.252,NULL,360,2008000,7980,677,2.81374502,41,type1,p3,l2,65-74,North,pr,nob/c,0
24980,486500,4.75,0.2531,4177.19,360,578000,9840,774,84.16955017,44,type1,p4,l1,65-74,south,sr,nob/c,0
24981,346500,3.99,-0.0249,6370,360,3408000,11460,638,10.16725352,25,type1,p3,l1,>74,North,pr,nob/c,0
24982,136500,3.875,0.9787,2940.31,180,348000,3660,644,39.22413793,44,type1,p3,l1,55-64,North,pr,nob/c,0
24983,586500,3.5,-0.2979,2800,360,588000,7140,732,99.74489796,49,type3,p1,l1,35-44,south,pr,nob/c,0
24984,336500,NULL,NULL,NULL,360,NULL,7440,586,NULL,NULL,type1,p4,l1,55-64,North,pr,nob/c,1
24985,76500,4.75,1.3051,1818.9,300,88000,2940,642,86.93181818,45,type2,p3,l1,35-44,North,pr,b/c,0
24986,286500,NULL,NULL,NULL,360,258000,NULL,872,111.0465116,NULL,type3,p4,l1,65-74,south,pr,nob/c,1
24987,136500,3.625,0.544,3817.34,180,208000,3000,898,65.625,45,type1,p4,l1,55-64,south,pr,nob/c,0
24988,486500,3.99,-0.168,11957.75,360,598000,14640,734,81.35451505,31,type1,p1,l1,45-54,south,pr,nob/c,0
24989,416500,3.75,-0.4929,7265.8,360,498000,3840,639,83.63453815,47,type1,p1,l1,25-34,North,pr,nob/c,0
24990,186500,4.875,0.3555,4950,360,348000,2880,506,53.59195402,46,type1,p1,l1,55-64,North,pr,nob/c,0
24991,186500,NULL,NULL,NULL,360,NULL,5700,664,NULL,NULL,type1,p4,l1,65-74,North,pr,nob/c,1
24992,316500,3.375,0.7659,7628.9,360,318000,7680,670,99.52830189,32,type2,p1,l1,45-54,North,pr,b/c,0
24993,346500,NULL,NULL,NULL,360,478000,NULL,577,72.48953975,NULL,type2,p4,l1,35-44,North,pr,b/c,1
24994,326500,3.25,-0.1973,9271.25,348,438000,6840,857,74.543379,46,type1,p4,l1,55-64,south,pr,nob/c,0
24995,256500,4.125,0.4474,0,180,818000,10260,653,31.35696822,10,type1,p3,l2,55-64,North,pr,nob/c,0
24996,226500,NULL,NULL,NULL,360,408000,3120,595,55.51470588,41,type1,p1,l1,<25,North,pr,nob/c,1
24997,226500,4.75,0.3399,1164.27,360,588000,17340,639,38.52040816,32,type1,p1,l1,55-64,North,ir,nob/c,0
24998,906500,4.375,-0.0131,1702.16,360,1308000,12180,787,69.30428135,39,type1,p1,l1,35-44,south,pr,nob/c,0
24999,386500,3.5,0.1222,5634.69,360,558000,5520,560,69.26523297,38,type1,p4,l1,45-54,south,pr,nob/c,0
25000,496500,NULL,NULL,NULL,360,508000,6060,613,97.73622047,56,type2,p1,l1,25-34,south,pr,b/c,1
25001,106500,NULL,NULL,NULL,180,NULL,5220,514,NULL,NULL,type1,p3,l1,45-54,south,pr,nob/c,1
25002,186500,3.99,0.5102,5937.5,360,528000,2640,867,35.3219697,49,type1,p3,l1,45-54,south,pr,nob/c,0
25003,246500,4.875,0.5887,7.9,360,288000,4920,717,85.59027778,36,type1,p4,l1,55-64,North,pr,nob/c,0
25004,126500,NULL,NULL,NULL,324,NULL,4800,872,NULL,NULL,type1,p1,l1,>74,south,pr,nob/c,1
25005,226500,3.875,1.2341,2171.25,360,228000,4200,619,99.34210526,60,type2,p1,l1,45-54,south,pr,b/c,0
25006,416500,2.99,-0.5876,0,360,508000,NULL,668,81.98818898,NULL,type3,p4,l1,45-54,central,pr,nob/c,0
25007,146500,4.125,0.4603,1977.81,360,208000,8160,640,70.43269231,42,type1,p4,l1,45-54,North,pr,nob/c,0
25008,216500,NULL,NULL,NULL,360,NULL,4440,600,NULL,NULL,type2,p4,l1,55-64,North,pr,b/c,1
25009,396500,3.375,-0.2118,5955,360,768000,11400,524,51.62760417,15,type1,p4,l1,55-64,North,pr,nob/c,0
25010,246500,4.75,0.1691,1030.39,360,318000,3240,883,77.51572327,40,type1,p1,l1,25-34,North,pr,nob/c,0
25011,316500,4.25,0.0562,6034.95,360,388000,3300,503,81.57216495,53,type3,p3,l1,65-74,south,pr,nob/c,0
25012,296500,4.25,0.5813,8112.5,360,318000,3840,887,93.23899371,46,type1,p1,l1,45-54,North,pr,nob/c,0
25013,436500,3.99,-0.051,776.37,360,558000,NULL,604,78.22580645,NULL,type3,p4,l1,65-74,North,pr,nob/c,0
25014,226500,NULL,NULL,NULL,360,288000,6600,644,78.64583333,31,type1,p3,l1,35-44,south,pr,nob/c,1
25015,506500,3.125,-0.4337,5027.23,360,578000,NULL,648,87.62975779,NULL,type3,p4,l1,35-44,central,pr,nob/c,0
25016,296500,3.625,-0.0589,90.03,360,608000,8400,797,48.76644737,7,type1,p4,l1,35-44,south,pr,nob/c,0
25017,386500,3.625,0.014,0,360,598000,5820,806,64.63210702,38,type1,p4,l1,25-34,south,pr,nob/c,0
25018,106500,4.5,1.2132,3041.75,120,618000,6540,845,17.23300971,19,type1,p3,l1,55-64,central,pr,nob/c,0
25019,706500,4,0.2072,0,360,898000,15240,815,78.67483296,27,type1,p4,l1,45-54,North,pr,nob/c,0
25020,176500,3.75,1.0893,4736,180,278000,5280,585,63.48920863,37,type1,p3,l1,45-54,North,pr,nob/c,0
25021,496500,5.19,1.0083,7608.1,360,588000,8280,729,84.43877551,40,type1,p1,l1,35-44,south,pr,nob/c,0
25022,606500,4.875,0.6654,0,360,978000,16740,538,62.01431493,20,type1,p3,l1,65-74,North,pr,nob/c,0
25023,126500,4.49,1.987,123.61,360,138000,2220,629,91.66666667,55,type2,p1,l1,65-74,North,pr,b/c,0
25024,156500,3.375,1.4935,4653.09,180,198000,3780,791,79.04040404,30,type2,p3,l1,55-64,North,pr,b/c,0
25025,196500,NULL,NULL,NULL,360,208000,5580,671,94.47115385,36,type1,p4,l1,55-64,North,pr,nob/c,1
25026,256500,4.5,0.4361,295,360,1308000,11760,787,19.61009174,42,type1,p3,l1,45-54,North,pr,nob/c,0
25027,1376500,NULL,NULL,NULL,360,1708000,54300,572,80.59133489,10,type1,p3,l1,55-64,North,pr,nob/c,1
25028,376500,3.875,0.017,0,360,608000,4680,755,61.92434211,41,type1,p4,l1,35-44,south,pr,nob/c,0
25029,296500,4.375,0.4093,3709.03,360,438000,4140,670,67.69406393,44,type1,p4,l1,65-74,North,pr,nob/c,0
25030,566500,NULL,NULL,NULL,360,NULL,8580,760,NULL,NULL,type1,p4,l1,45-54,North,pr,nob/c,1
25031,416500,3.875,-0.0958,7530.66,360,858000,10020,578,48.54312354,24,type1,p1,l1,35-44,south,pr,nob/c,0
25032,476500,4.125,-0.113,0,360,808000,9000,648,58.97277228,38,type1,p4,l2,45-54,North,pr,nob/c,0
25033,686500,NULL,NULL,NULL,360,NULL,0,836,NULL,NULL,type3,p4,l1,45-54,south,pr,nob/c,1
25034,556500,NULL,NULL,NULL,240,NULL,25680,900,NULL,NULL,type1,p3,l1,45-54,south,ir,nob/c,1
25035,266500,4.875,0.479,0,360,568000,8580,777,46.91901408,39,type1,p3,l1,55-64,North,pr,nob/c,0
25036,406500,3.75,0.3313,9618.75,360,458000,7080,765,88.75545852,36,type1,p1,l1,35-44,North,pr,nob/c,0
25037,256500,2.875,-0.6287,2476.72,360,758000,NULL,534,33.83905013,NULL,type3,p4,l1,65-74,North,pr,nob/c,0
25038,236500,5.125,0.6871,0,360,238000,4920,667,99.3697479,36,type3,p1,l1,65-74,central,pr,nob/c,0
25039,656500,NULL,NULL,NULL,360,NULL,8640,880,NULL,NULL,type2,p3,l1,35-44,North,pr,b/c,1
25040,156500,4.625,1.0547,4115,360,258000,3960,820,60.65891473,31,type1,p3,l1,45-54,south,pr,nob/c,0
25041,406500,4,-0.043,6500,360,478000,3600,568,85.041841,49,type1,p1,l1,25-34,North,pr,nob/c,0
25042,476500,4.875,1.3139,5284.38,360,638000,6180,805,74.68652038,48,type1,p3,l2,>74,south,pr,nob/c,0
25043,676500,3.99,-0.297,995,360,1208000,10080,590,56.00165563,35,type1,p4,l1,55-64,south,pr,nob/c,0
25044,206500,3.375,0.3492,0,360,238000,NULL,892,86.76470588,NULL,type2,p4,l1,35-44,North,pr,b/c,0
25045,126500,3.99,1.8342,NULL,240,188000,2520,540,67.28723404,40,type2,p3,l1,55-64,North,pr,b/c,0
25046,366500,4.56,0.5541,5060,360,468000,10200,869,78.31196581,32,type1,p3,l1,55-64,North,pr,nob/c,0
25047,156500,NULL,NULL,NULL,180,208000,2520,737,75.24038462,59,type1,p4,l1,>74,North,pr,nob/c,1
25048,276500,3.99,0.3337,3149.5,360,648000,7980,831,42.66975309,49,type1,p3,l1,65-74,North,ir,nob/c,0
25049,636500,NULL,NULL,NULL,360,668000,11640,671,95.28443114,57,type2,p1,l1,45-54,North,pr,b/c,1
25050,486500,3.625,0.0403,0,360,908000,13560,608,53.57929515,26,type1,p3,l1,65-74,south,pr,nob/c,0
25051,266500,3.125,-0.6033,1560.45,360,288000,NULL,803,92.53472222,NULL,type3,p4,l1,65-74,North,pr,nob/c,0
25052,356500,3.625,-0.1012,2421,360,588000,4800,795,60.6292517,42,type1,p3,l1,65-74,North,pr,nob/c,0
25053,396500,3.625,0.0897,4663.95,360,538000,26100,642,73.69888476,9,type1,p4,l1,55-64,North,ir,nob/c,0
25054,486500,3.375,-0.1318,169.53,360,618000,9000,674,78.72168285,30,type1,p4,l1,35-44,south,pr,nob/c,0
25055,716500,3.99,0.4348,14702,360,1138000,14220,804,62.96133568,42,type1,p4,l1,>74,south,pr,nob/c,0
25056,596500,4.125,0.724,NULL,360,798000,10800,788,74.74937343,41,type1,p3,l1,45-54,central,pr,nob/c,0
25057,636500,4.125,0.048,3520.2,360,798000,19620,737,79.76190476,10,type1,p1,l1,45-54,North,pr,nob/c,0
25058,116500,NULL,NULL,NULL,360,118000,2640,781,98.72881356,44,type2,p4,l1,45-54,south,pr,b/c,1
25059,376500,3.75,0.4232,6536.25,360,418000,11880,545,90.07177033,36,type1,p1,l1,45-54,North,sr,nob/c,0
25060,356500,4.375,0.7168,3368.75,240,658000,6660,796,54.17933131,40,type1,p3,l1,65-74,North,pr,nob/c,0
25061,86500,NULL,NULL,NULL,360,88000,3240,660,98.29545455,50,type2,p4,l1,45-54,central,pr,b/c,1
25062,226500,3.5,0.0677,6549.46,324,288000,3360,850,78.64583333,42,type1,p4,l1,25-34,south,pr,nob/c,0
25063,66500,4.125,1.1254,1772.02,360,198000,840,851,33.58585859,48,type2,p2,l2,35-44,central,pr,b/c,0
25064,556500,4.5,0.6439,935,360,628000,7020,794,88.61464968,48,type1,p1,l1,55-64,south,pr,nob/c,0
25065,376500,NULL,NULL,NULL,360,378000,NULL,866,99.6031746,NULL,type2,p4,l1,35-44,south,pr,b/c,1
25066,106500,NULL,NULL,NULL,360,118000,1500,777,90.25423729,31,type2,p1,l1,45-54,south,pr,b/c,1
25067,316500,4.5,0.012,0,360,428000,9180,780,73.94859813,32,type1,p4,l1,45-54,North,pr,nob/c,0
25068,116500,3.625,0.8732,3718.63,360,138000,3960,611,84.42028986,59,type2,p3,l1,45-54,south,pr,b/c,0
25069,86500,3.7,-0.0746,415,360,308000,4440,584,28.08441558,21,type1,p2,l1,65-74,North,pr,nob/c,0
25070,326500,4.25,0.2517,0,360,318000,6480,621,102.672956,28,type3,p1,l1,25-34,south,pr,nob/c,0
25071,176500,4.5,0.9662,2665.52,360,218000,4140,660,80.96330275,36,type1,p4,l1,<25,North,ir,nob/c,0
25072,156500,NULL,NULL,NULL,360,158000,1860,862,99.05063291,45,type2,p1,l1,45-54,south,pr,b/c,1
25073,346500,3.99,1.1306,6935.77,360,418000,8280,829,82.89473684,33,type2,p3,l1,45-54,south,pr,b/c,0
25074,616500,2.99,-0.2418,1958.1,180,828000,9900,848,74.45652174,38,type1,p4,l1,25-34,south,pr,nob/c,0
25075,456500,NULL,NULL,NULL,180,578000,78120,775,78.97923875,19,type1,p1,l1,55-64,south,sr,nob/c,1
25076,96500,4.625,0.8361,2054.53,360,138000,3180,812,69.92753623,46,type2,p3,l1,55-64,North,pr,b/c,0
25077,256500,3.75,0.144,5220.49,360,398000,3540,733,64.44723618,44,type1,p4,l1,25-34,North,pr,nob/c,0
25078,146500,4.125,1.7615,2920.33,360,158000,3120,700,92.72151899,40,type2,p1,l1,25-34,North,pr,b/c,0
25079,316500,4.5,0.1427,7035.03,360,468000,6960,781,67.62820513,42,type1,p3,l1,35-44,south,pr,nob/c,0
25080,76500,NULL,NULL,NULL,360,NULL,3180,633,NULL,NULL,type2,p1,l1,25-34,North,pr,b/c,1
25081,406500,3.75,0.0028,0,360,408000,NULL,702,99.63235294,NULL,type3,p4,l1,25-34,south,pr,nob/c,0
25082,116500,NULL,NULL,NULL,360,108000,1980,882,107.8703704,37,type1,p1,l1,55-64,North,pr,nob/c,1
25083,136500,NULL,NULL,NULL,180,278000,18420,880,49.10071942,10,type1,p1,l1,25-34,south,ir,nob/c,1
25084,206500,NULL,NULL,NULL,360,248000,2940,686,83.26612903,37,type1,p2,l1,>74,south,pr,nob/c,1
25085,306500,NULL,NULL,NULL,360,NULL,6840,733,NULL,NULL,type2,p3,l1,45-54,North,pr,b/c,1
25086,166500,4.25,0.6468,2650,360,618000,1740,652,26.94174757,58,type1,p2,l1,55-64,south,pr,nob/c,0
25087,216500,3.75,1.0432,0,360,228000,NULL,524,94.95614035,NULL,type2,p4,l1,25-34,south,pr,b/c,0
25088,306500,4.56,0.2789,0,360,338000,8280,705,90.68047337,49,type1,p1,l1,25-34,North,sr,nob/c,0
25089,826500,4.25,-0.0492,485.55,360,1268000,13140,844,65.18138801,29,type1,p4,l1,45-54,North,pr,nob/c,0
25090,136500,3.5,0.3056,2882.81,360,138000,2220,642,98.91304348,47,type1,p1,l1,25-34,North,pr,nob/c,0
25091,346500,4.875,0.575,3334.84,360,538000,18240,649,64.40520446,45,type1,p4,l1,45-54,south,ir,nob/c,0
25092,386500,3.625,-0.1928,0,180,558000,8760,557,69.26523297,29,type1,p4,l1,35-44,North,pr,nob/c,0
25093,706500,NULL,NULL,NULL,180,1068000,15840,866,66.15168539,35,type1,p4,l1,45-54,North,pr,nob/c,1
25094,276500,3.875,0.2794,8010,360,338000,5880,761,81.80473373,49,type1,p3,l1,65-74,south,pr,nob/c,0
25095,26500,4.75,1.3925,662.44,360,78000,1260,569,33.97435897,24,type2,p2,l1,55-64,south,pr,b/c,0
25096,276500,2.75,-0.8623,8079.2,360,488000,NULL,523,56.65983607,NULL,type3,p4,l1,55-64,North,pr,nob/c,0
25097,186500,4.99,0.6403,1150,360,388000,2100,740,48.06701031,43,type1,p3,l1,55-64,North,pr,nob/c,0
25098,366500,NULL,NULL,NULL,360,858000,0,638,42.71561772,6,type1,p4,l1,45-54,North,pr,nob/c,1
25099,666500,4.375,0.1084,1063.16,360,768000,18000,506,86.78385417,36,type1,p4,l1,55-64,North,pr,nob/c,0
25100,226500,4.75,0.0368,2280,360,288000,4320,803,78.64583333,44,type1,p1,l1,35-44,central,pr,nob/c,0
25101,106500,NULL,NULL,NULL,240,NULL,1680,880,NULL,NULL,type1,p4,l1,45-54,central,pr,nob/c,1
25102,426500,3.375,0.5422,0,360,438000,NULL,690,97.37442922,NULL,type2,p4,l1,35-44,North,pr,b/c,0
25103,216500,4.25,-0.0666,0,360,408000,4560,616,53.06372549,33,type1,p4,l1,25-34,North,pr,nob/c,0
25104,146500,3.625,0.5321,1109.31,360,148000,2460,648,98.98648649,42,type3,p1,l1,<25,North,pr,nob/c,0
25105,676500,3.625,-0.0633,0,360,1298000,9060,660,52.11864407,33,type1,p4,l1,55-64,North,pr,nob/c,0
25106,316500,NULL,NULL,NULL,300,298000,8220,782,106.2080537,59,type2,p3,l2,35-44,North,pr,b/c,1
25107,76500,4.75,1.3172,2650,180,208000,7380,601,36.77884615,9,type1,p3,l1,55-64,North,pr,nob/c,0
25108,446500,4.875,1.1415,NULL,180,638000,7440,809,69.98432602,48,type1,p3,l1,55-64,south,pr,nob/c,0
25109,256500,4.875,1.0371,0,180,548000,10800,855,46.80656934,38,type1,p2,l1,25-34,south,ir,nob/c,0
25110,406500,NULL,NULL,NULL,360,NULL,7560,768,NULL,NULL,type3,p3,l1,45-54,North,pr,nob/c,1
25111,196500,NULL,NULL,NULL,360,NULL,7500,627,NULL,NULL,type1,p4,l1,>74,North,pr,nob/c,1
25112,266500,NULL,NULL,NULL,360,358000,1380,854,74.44134078,17,type1,p3,l1,55-64,south,pr,nob/c,1
